,HO,DEM,TEN,GIOI_TINH,NGAY,THANG,NAM,MA_TINH_KS,MA_HUYEN_KS,MA_XA_KS,SO_CMTND,LABEL,SCORE
74751,Dùơng,Thị,Thắm,1,10,1,1963,26TTT,251HH,09025,026063000011,10000000000,0.9727287092778313
75198,Dương,Tlị,Thắm,1,20,1,1963,26TTT,251HH,09025,026063000001,01001000001,0.9720540833510114
74623,Bương,Thị,Thắm,0,10,1,1963,26TTT,251HH,09025,026063000011,10010000000,0.9717123325698483
74750,Dươđg,Thị,Thắm,1,10,1,1963,26TTT,251HH,09025,026066000011,10000000001,0.9715739269149374
75071,Dương,Tmị,Thắm,0,9,1,1963,26TTT,251HH,09025,026063000011,01011000000,0.9711754826918861
74622,Dưông,Thị,Thắm,0,10,1,1963,26TTT,251HH,09025,026063000017,10010000001,0.9705563409075909
75070,Dương,Mhị,Thắm,0,4,1,1963,26TTT,251HH,09025,016063000011,01011000001,0.9700188512546623
75231,Dương,Xhị,Thắm,1,10,11,1963,26TTT,251HH,09025,026063000011,01000100000,0.9691384054983363
75759,Dương,Thị,Thắm,1,10,1,1992,26TTT,251HH,09025,026063000011,00000010000,0.967863055024125
75694,Dương,Thị,Thắm,1,22,1,1996,26TTT,251HH,09025,026013000011,00001010001,0.9666615723741321
75630,Dương,Thị,Thắm,0,10,1,1994,26TTT,251HH,09025,026003000011,00010010001,0.9656797410649394
75767,Dương,Thị,Thắm,1,10,1,1963,46TTT,251HH,09025,026063000011,00000001000,0.9642261683055211
75103,Dương,Thí,Thắm,0,10,6,1963,26TTT,251HH,09025,026063000011,01010100000,0.9640268803757271
75230,Dương,Thí,Thắm,1,10,7,1963,26TTT,251HH,09025,066063000011,01000100001,0.9638873711588574
74687,Mương,Thị,Thắm,1,26,1,1963,26TTT,251HH,09025,026063000011,10001000000,0.963542723800296
74559,Dươdg,Thị,Thắm,0,12,1,1963,26TTT,251HH,09025,026063000011,10011000000,0.963542723800296
74686,Qương,Thị,Thắm,1,14,1,1963,26TTT,251HH,09025,026063001011,10001000001,0.9634031444733145
75639,Dương,Thị,Thắm,0,10,1,1963,26STT,251HH,09025,026063000011,00010001000,0.9632008196945052
75766,Dương,Thị,Thắm,1,10,1,1963,26TTQ,251HH,09025,026063000111,00000001001,0.9630611908143446
75102,Dương,Tcị,Thắm,0,10,3,1963,26TTT,251HH,09025,026063000017,01010100001,0.9628616617638033
75631,Dương,Thị,Thắm,0,10,1,2000,26TTT,251HH,09025,026063000011,00010010000,0.9627447586747648
74558,Dươnđ,Thị,Thắm,0,21,1,1963,26TTT,251HH,09025,026063000111,10011000001,0.9623769189855345
75638,Dương,Thị,Thắm,0,10,1,1963,26TTV,251HH,09025,066063000011,00010001001,0.9620346005564265
74591,Dữơng,Thị,Thắm,0,10,10,1963,26TTT,251HH,09025,026063000011,10010100000,0.9594318330389985
75039,Dương,Thì,Thắm,0,22,10,1963,26TTT,251HH,09025,026063000011,01011100000,0.9588881077383613
75167,Dương,Nhị,Thắm,1,12,3,1963,26TTT,251HH,09025,026063000011,01001100000,0.9568248711191065
75566,Dương,Thị,Thắm,0,28,1,1999,26TTT,251HH,09025,026067000011,00011010001,0.9564260562314404
74719,Dữơng,Thị,Thắm,1,10,9,1963,26TTT,251HH,09025,026063000011,10000100000,0.9563370684510937
75695,Dương,Thị,Thắm,1,19,1,2007,26TTT,251HH,09025,026063000011,00001010000,0.9555330859059091
75567,Dương,Thị,Thắm,0,15,1,2011,26TTT,251HH,09025,026063000011,00011010000,0.9552586863571421
74718,Dũơng,Thị,Thắm,1,10,2,1963,26TTT,251HH,09025,026063000017,10000100001,0.9551624689555324
75703,Dương,Thị,Thắm,1,8,1,1963,16TTT,251HH,09025,026063000011,00001001000,0.9549583982458738
75575,Dương,Thị,Thắm,0,30,1,1963,26TTĐ,251HH,09025,026063000011,00011001000,0.9549583982458738
75166,Dương,Txị,Thắm,1,6,6,1963,26TTT,251HH,09025,026063900011,01001100001,0.9546163119362202
75771,Dương,Thị,Thắm,1,10,1,1963,26TTT,251HG,09025,026063000011,00000000100,0.9544983989907418
74590,Dưóng,Thị,Thắm,0,10,9,1963,26TTT,251HH,09025,026063000017,10010100001,0.9541273801313156
75702,Dương,Thị,Thắm,1,6,1,1963,26TKT,251HH,09025,026064000011,00001001001,0.9537821008951266
75574,Dương,Thị,Thắm,0,21,1,1963,20TTT,251HH,09025,026363000011,00011001001,0.9537821008951266
75038,Dương,Tnị,Thắm,0,9,8,1963,26TTT,251HH,09025,020063000011,01011100001,0.9535806302718878
74239,Dươrg,Ghị,Thắm,1,10,1,1963,26TTT,251HH,09025,026063000011,11000000000,0.953491376932658
75643,Dương,Thị,Thắm,0,10,1,1963,26TTT,281HH,09025,026063000011,00010000100,0.9534625892455924
75770,Dương,Thị,Thắm,1,10,1,1963,26TTT,257HH,09025,026063000017,00000000101,0.9533215340500212
75662,Dương,Thị,Thắm,1,1,7,1996,26TTT,251HH,09025,226063000011,00001110001,0.9525023267485236
74111,Dụơng,Bhị,Thắm,0,10,1,1963,26TTT,251HH,09025,026063000011,11010000000,0.9524544720352548
74238,Dươsg,Tđị,Thắm,1,10,1,1963,26TTT,251HH,09025,020063000011,11000000001,0.9523132675189044
75642,Dương,Thị,Thắm,0,10,1,1963,26TTT,251QH,09025,026863000011,00010000101,0.9522844442174331
74655,Dươnm,Thị,Thắm,1,16,12,1963,26TTT,251HH,09025,026063000011,10001100000,0.9521950693811174
74110,Dướng,Shị,Thắm,0,10,1,1963,26TTT,251HH,09025,026063000611,11010000001,0.9512750784644536
75599,Dương,Thị,Thắm,0,10,8,1997,26TTT,251HH,09025,026063000011,00010110000,0.950348386296293
75726,Dương,Thị,Thắm,1,10,5,2016,26TTT,251HH,09025,026063800011,00000110001,0.950206868807285
75598,Dương,Thị,Thắm,0,10,2,1998,26TTT,251HH,09025,026063006011,00010110001,0.949166375796975
75727,Dương,Thị,Thắm,1,10,9,2009,26TTT,251HH,09025,026063000011,00000110000,0.9479900662801859
75735,Dương,Thị,Thắm,1,10,8,1963,23TTT,251HH,09025,026063000011,00000101000,0.9476874750071689
75607,Dương,Thị,Thắm,0,10,2,1963,21TTT,251HH,09025,026063000011,00010101000,0.9466442128384259
75734,Dương,Thị,Thắm,1,10,9,1963,26TTP,251HH,09025,026063000015,00000101001,0.9465021415153057
74175,Dưỏng,Tlị,Thắm,1,1,1,1963,26TTT,251HH,09025,026063000011,11001000000,0.9464702240093554
75118,Dương,Thi,Thắm,0,10,1,1998,26TTT,251HH,09025,027063000011,01010010001,0.9462991209627477
74527,Dươmg,Thị,Thắm,0,24,4,1963,26TTT,251HH,09025,026063000011,10011100000,0.9459480655109084
74654,Xương,Thị,Thắm,1,8,9,1963,26TTT,251HH,09025,026363000011,10001100001,0.9458058896181638
75606,Dương,Thị,Thắm,0,10,5,1963,26TTD,251HH,09025,026063000017,00010101001,0.9454575713949724
75707,Dương,Thị,Thắm,1,2,1,1963,26TTT,251HD,09025,026063000011,00001000100,0.945135245565981
75706,Dương,Thị,Thắm,1,30,1,1963,26TTT,261HH,09025,026043000011,00001000101,0.9449929473830182
75255,Dương,Trị,Thắm,1,10,1,1963,16TTT,251HH,09025,026063000011,01000001000,0.9448157321281053
74526,Dưõng,Thị,Thắm,0,22,3,1963,26TTT,251HH,09025,026003000011,10011100001,0.9447605496904631
75247,Dương,Shị,Thắm,1,10,1,2005,26TTT,251HH,09025,026063000011,01000010000,0.9443507923289586
74047,Dươgg,Thỉ,Thắm,0,16,1,1963,26TTT,251HH,09025,026063000011,11011000000,0.9441182365679175
75579,Dương,Thị,Thắm,0,29,1,1963,26TTT,251GH,09025,026063000011,00011000100,0.9440891630699332
75119,Dương,Hhị,Thắm,0,10,1,2018,26TTT,251HH,09025,026063000011,01010010000,0.9440731425966079
75578,Dương,Thị,Thắm,0,21,1,1963,26TTT,851HH,09025,026163000011,00011000101,0.9439467071920234
75246,Dương,Thì,Thắm,1,10,1,2015,26TTT,251HH,09025,926063000011,01000010001,0.9439306843009246
75127,Dương,Tsị,Thắm,0,10,1,1963,26TVT,251HH,09025,026063000011,01010001000,0.9437692954805148
75254,Dương,Shị,Thắm,1,10,1,1963,24TTT,251HH,09025,026061000011,01000001001,0.9436267913133687
75773,Dương,Thị,Thắm,1,10,1,1963,26TTT,251HH,03025,026063000011,00000000010,0.9435075049757379
74046,Duơng,Thỉ,Thắm,0,12,1,1963,26TTT,251HH,09025,056063000011,11011000001,0.9429284162796827
74174,Mương,Vhị,Thắm,1,2,1,1963,26TTT,251HH,09025,026063000611,11001000001,0.9429284162796827
75126,Dương,Mhị,Thắm,0,10,1,1963,66TTT,251HH,09025,026063000013,01010001001,0.942579034723022
75671,Dương,Thị,Thắm,1,8,12,1963,26TQT,251HH,09025,026063000011,00001101000,0.9424596157717116
75543,Dương,Thị,Thắm,0,31,12,1963,26TTD,251HH,09025,026063000011,00011101000,0.9424596157717116
